,mean_CC,mean_mse,mean_class_error,Variable,met_data
TP_continuous_fromPredictableNodes_metno,0.5759801439422972,15.681293255289784,0.3289473684210526,TP,metno
TP_continuous_fromAllNodes_era5,0.7232169807873521,10.93400325790847,0.3153846153846154,TP,era5
TP_continuous_fromPredictableNodes_era5,0.5815861133754223,15.179048247353567,0.3256410256410257,TP,era5
TP_continuous_fromAllNodes_metno,0.7517793009509454,10.206141852168637,0.2657894736842105,TP,metno
chla_cont_fromAllNodes_noWind_era5,0.6975021298775916,15.76262136978978,0.20000000000000004,chla,era5
chla_continuous_fromPredictableNodes_era5,0.5706451546647802,20.995248066270786,0.2743589743589744,chla,era5
chla_continuous_fromPredictableNodes_metno,0.5453616639249492,22.763623993948517,0.3368421052631579,chla,metno
chla_continuous_fromAllNodes_era5,0.7070075276734287,15.356126416406383,0.1948717948717949,chla,era5
chla_cont_fromPredictableNodes_noWind_metno,0.537419293196414,22.88619283882433,0.3157894736842105,chla,metno
chla_continuous_fromAllNodes_metno,0.7123435737234363,15.572902979921256,0.24210526315789474,chla,metno
chla_cont_fromPredictableNodes_noWind_era5,0.5294942043429941,22.53991659404619,0.3102564102564102,chla,era5
chla_cont_fromAllNodes_noWind_metno,0.7040832781420607,15.859139183496556,0.21578947368421048,chla,metno
cyano_continuous_fromAllNodes_metno,0.7867419156501787,0.6443273270265826,0.1869565217391304,cyano,metno
cyano_continuous_fromPredictableNodes_metno,0.6350343032600331,0.9996780038256909,0.16086956521739132,cyano,metno
cyano_continuous_fromAllNodes_era5,0.7864411148058723,0.6234010104794149,0.1875,cyano,era5
cyano_continuous_fromPredictableNodes_era5,0.6327855763947448,0.9710290203893681,0.17916666666666664,cyano,era5
colour_continuous_metno,0.8435284118976305,78.46192466557399,0.2473684210526316,colour,metno
colour_continuous_era5,0.8330009109130154,81.39629897903602,0.2333333333333333,colour,era5
