date,run1
1994-11-22,NA
1994-11-23,NA
1994-11-24,NA
1994-11-25,NA
1994-11-26,NA
1994-11-27,NA
1994-11-28,NA
1994-11-29,NA
1994-11-30,NA
1994-12-01,6.84361553192139
1994-12-02,6.84689712524414
1994-12-03,6.85099124908447
1994-12-04,6.85513019561768
1994-12-05,6.85932779312134
1994-12-06,6.86267948150635
1994-12-07,6.86212682723999
1994-12-08,6.86335134506226
1994-12-09,6.8634819984436
1994-12-10,6.86686754226685
1994-12-11,6.86973237991333
1994-12-12,6.87362766265869
1994-12-13,6.87766122817993
1994-12-14,6.88141918182373
1994-12-15,6.88396453857422
1994-12-16,6.88659954071045
1994-12-17,6.88783311843872
1994-12-18,6.88891983032227
1994-12-19,6.89125537872314
1994-12-20,6.89440536499023
1994-12-21,6.89596462249756
1994-12-22,6.89945840835571
1994-12-23,6.90329885482788
1994-12-24,6.90647649765015
1994-12-25,6.90865182876587
1994-12-26,6.91108846664429
1994-12-27,6.91474056243896
1994-12-28,6.91839599609375
1994-12-29,6.92135524749756
1994-12-30,6.92491865158081
1994-12-31,6.92843008041382
1995-01-01,6.93184232711792
1995-01-02,6.93609094619751
1995-01-03,6.94064855575562
1995-01-04,6.94409275054932
1995-01-05,6.94579410552979
1995-01-06,6.94599723815918
1995-01-07,6.94671773910522
1995-01-08,6.95038175582886
1995-01-09,6.95477151870728
1995-01-10,6.95891284942627
1995-01-11,6.96150541305542
1995-01-12,6.96513748168945
1995-01-13,6.96925735473633
1995-01-14,6.97260808944702
1995-01-15,6.97535514831543
1995-01-16,6.97918558120728
1995-01-17,6.98255014419556
1995-01-18,6.98343420028687
1995-01-19,6.98731231689453
1995-01-20,6.99400949478149
1995-01-21,7.0058765411377
1995-01-22,7.02930498123169
1995-01-23,7.06360149383545
1995-01-24,7.10239219665527
1995-01-25,7.14049434661865
1995-01-26,7.17166042327881
1995-01-27,7.19893217086792
1995-01-28,7.22024011611938
1995-01-29,7.23146724700928
1995-01-30,7.25023889541626
1995-01-31,7.26474857330322
1995-02-01,7.26057910919189
1995-02-02,7.26234102249146
1995-02-03,7.26176643371582
1995-02-04,7.25921297073364
1995-02-05,7.26104593276978
1995-02-06,7.27087783813477
1995-02-07,7.28053140640259
1995-02-08,7.28638887405396
1995-02-09,7.28963851928711
1995-02-10,7.29110622406006
1995-02-11,7.29672527313232
1995-02-12,7.30285596847534
1995-02-13,7.31021642684937
1995-02-14,7.3157205581665
1995-02-15,7.31891393661499
1995-02-16,7.32504272460938
1995-02-17,7.33181190490723
1995-02-18,7.33732271194458
1995-02-19,7.33807706832886
1995-02-20,7.34347152709961
1995-02-21,7.34937763214111
1995-02-22,7.35426902770996
1995-02-23,7.35852289199829
1995-02-24,7.35678386688232
1995-02-25,7.35660314559937
1995-02-26,7.35984134674072
1995-02-27,7.36524248123169
1995-02-28,7.37093591690063
1995-03-01,7.85168027877808
1995-03-02,7.85318851470947
1995-03-03,7.85460662841797
1995-03-04,7.85603094100952
1995-03-05,7.85739707946777
1995-03-06,7.85865831375122
1995-03-07,7.86013984680176
1995-03-08,7.86171960830688
1995-03-09,7.86317443847656
1995-03-10,7.86463832855225
1995-03-11,7.8661994934082
1995-03-12,7.86784076690674
1995-03-13,7.86965322494507
1995-03-14,7.87152433395386
1995-03-15,7.87316942214966
1995-03-16,7.8745813369751
1995-03-17,7.87622547149658
1995-03-18,7.87805128097534
1995-03-19,7.87994527816772
1995-03-20,7.88185882568359
1995-03-21,7.88365411758423
1995-03-22,7.8853063583374
1995-03-23,7.88720369338989
1995-03-24,7.88927888870239
1995-03-25,7.89131116867065
1995-03-26,7.89346313476562
1995-03-27,7.89576530456543
1995-03-28,7.89782810211182
1995-03-29,7.89965534210205
1995-03-30,7.90184164047241
1995-03-31,7.90439510345459
1995-04-01,7.90727233886719
1995-04-02,7.91014003753662
1995-04-03,7.91328382492065
1995-04-04,7.91647052764893
1995-04-05,7.91957378387451
1995-04-06,7.92265844345093
1995-04-07,7.92575693130493
1995-04-08,7.92899656295776
1995-04-09,7.93230438232422
1995-04-10,7.93561601638794
1995-04-11,7.93899202346802
1995-04-12,7.94241809844971
1995-04-13,7.94566011428833
1995-04-14,7.94895601272583
1995-04-15,7.95230340957642
1995-04-16,7.95532894134521
1995-04-17,7.95839214324951
1995-04-18,7.96174955368042
1995-04-19,7.96509075164795
1995-04-20,7.96741485595703
1995-04-21,7.96957015991211
1995-04-22,7.9726185798645
1995-04-23,7.97606563568115
1995-04-24,7.97892761230469
1995-04-25,7.98124361038208
1995-04-26,7.98369932174683
1995-04-27,7.98667526245117
1995-04-28,7.98932218551636
1995-04-29,7.99133825302124
1995-04-30,7.99372339248657
1995-05-01,7.99669075012207
1995-05-02,8.00042152404785
1995-05-03,8.00406360626221
1995-05-04,8.00708866119385
1995-05-05,8.01091289520264
1995-05-06,8.01535606384277
1995-05-07,8.01974487304688
1995-05-08,8.02396392822266
1995-05-09,8.02776718139648
1995-05-10,8.0310230255127
1995-05-11,8.03371429443359
1995-05-12,8.03599071502686
1995-05-13,8.03968906402588
1995-05-14,8.0442943572998
1995-05-15,8.04830932617188
1995-05-16,8.05167675018311
1995-05-17,8.05495452880859
1995-05-18,8.05811500549316
1995-05-19,8.06138706207275
1995-05-20,8.06500434875488
1995-05-21,8.06896209716797
1995-05-22,8.07318019866943
1995-05-23,8.07755756378174
1995-05-24,8.08201885223389
1995-05-25,8.08624076843262
1995-05-26,8.08996391296387
1995-05-27,8.09380435943604
1995-05-28,8.09744834899902
1995-05-29,8.1008882522583
1995-05-30,8.10373973846436
1995-05-31,8.10615825653076
1995-06-01,8.02837753295898
1995-06-02,8.0299711227417
1995-06-03,8.03055191040039
1995-06-04,8.03141307830811
1995-06-05,8.0329475402832
1995-06-06,8.03588485717773
1995-06-07,8.03889846801758
1995-06-08,8.04221820831299
1995-06-09,8.04484081268311
1995-06-10,8.04740905761719
1995-06-11,8.05061435699463
1995-06-12,8.05399227142334
1995-06-13,8.05749607086182
1995-06-14,8.05952548980713
1995-06-15,8.06064510345459
1995-06-16,8.06207847595215
1995-06-17,8.06423568725586
1995-06-18,8.06703948974609
1995-06-19,8.07082080841064
1995-06-20,8.07446956634521
1995-06-21,8.07650184631348
1995-06-22,8.07821369171143
1995-06-23,8.08020687103271
1995-06-24,8.08239459991455
1995-06-25,8.08553695678711
1995-06-26,8.0894079208374
1995-06-27,8.09309577941895
1995-06-28,8.09598827362061
1995-06-29,8.09858798980713
1995-06-30,8.10164070129395
1995-07-01,8.10433387756348
1995-07-02,8.10779285430908
1995-07-03,8.11133098602295
1995-07-04,8.11413764953613
1995-07-05,8.11729526519775
1995-07-06,8.1210765838623
1995-07-07,8.12378406524658
1995-07-08,8.1262788772583
1995-07-09,8.1294002532959
1995-07-10,8.13316822052002
1995-07-11,8.13574981689453
1995-07-12,8.13855648040771
1995-07-13,8.14231014251709
1995-07-14,8.14627647399902
1995-07-15,8.15001010894775
1995-07-16,8.15353870391846
1995-07-17,8.15698432922363
1995-07-18,8.16019821166992
1995-07-19,8.16319274902344
1995-07-20,8.16647815704346
1995-07-21,8.16986846923828
1995-07-22,8.17352962493896
1995-07-23,8.17739486694336
1995-07-24,8.18129730224609
1995-07-25,8.18505764007568
1995-07-26,8.18894004821777
1995-07-27,8.19223117828369
1995-07-28,8.19542598724365
1995-07-29,8.19898891448975
1995-07-30,8.20243644714355
1995-07-31,8.20556640625
1995-08-01,8.20843601226807
1995-08-02,8.21185970306396
1995-08-03,8.21547698974609
1995-08-04,8.2186450958252
1995-08-05,8.22210597991943
1995-08-06,8.22557163238525
1995-08-07,8.22855377197266
1995-08-08,8.23135185241699
1995-08-09,8.23418998718262
1995-08-10,8.23700618743896
1995-08-11,8.23953628540039
1995-08-12,8.24173164367676
1995-08-13,8.24435901641846
1995-08-14,8.24740409851074
1995-08-15,8.24893379211426
1995-08-16,8.25123882293701
1995-08-17,8.25471496582031
1995-08-18,8.25654029846191
1995-08-19,8.25830364227295
1995-08-20,8.26185989379883
1995-08-21,8.26556873321533
1995-08-22,8.26751708984375
1995-08-23,8.27002620697021
1995-08-24,8.27235221862793
1995-08-25,8.27505874633789
1995-08-26,8.27821922302246
1995-08-27,8.28154373168945
1995-08-28,8.28480434417725
1995-08-29,8.28702259063721
1995-08-30,8.2890100479126
1995-08-31,8.2905101776123
1995-09-01,7.40870332717896
1995-09-02,7.41083765029907
1995-09-03,7.41265058517456
1995-09-04,7.41481494903564
1995-09-05,7.41707324981689
1995-09-06,7.41938781738281
1995-09-07,7.42183399200439
1995-09-08,7.42435026168823
1995-09-09,7.42673969268799
1995-09-10,7.42909097671509
1995-09-11,7.43178558349609
1995-09-12,7.43420839309692
1995-09-13,7.43646764755249
1995-09-14,7.43819856643677
1995-09-15,7.4403657913208
1995-09-16,7.44254684448242
1995-09-17,7.44461393356323
1995-09-18,7.4472713470459
1995-09-19,7.44989061355591
1995-09-20,7.45146322250366
1995-09-21,7.45338678359985
1995-09-22,7.45527267456055
1995-09-23,7.45695686340332
1995-09-24,7.45909547805786
1995-09-25,7.46185541152954
1995-09-26,7.46451950073242
1995-09-27,7.46657419204712
1995-09-28,7.46815729141235
1995-09-29,7.46884632110596
1995-09-30,7.47008800506592
1995-10-01,7.47198581695557
1995-10-02,7.47460460662842
1995-10-03,7.47717618942261
1995-10-04,7.4785623550415
1995-10-05,7.47930383682251
1995-10-06,7.48040390014648
1995-10-07,7.48231220245361
1995-10-08,7.48457384109497
1995-10-09,7.48696041107178
1995-10-10,7.48991060256958
1995-10-11,7.49276542663574
1995-10-12,7.49570608139038
1995-10-13,7.49832963943481
1995-10-14,7.50085163116455
1995-10-15,7.50347995758057
1995-10-16,7.50618839263916
1995-10-17,7.50899982452393
1995-10-18,7.51166677474976
1995-10-19,7.51377630233765
1995-10-20,7.51567935943604
1995-10-21,7.51780033111572
1995-10-22,7.52005386352539
1995-10-23,7.5223503112793
1995-10-24,7.52472877502441
1995-10-25,7.52718496322632
1995-10-26,7.52951002120972
1995-10-27,7.5319390296936
1995-10-28,7.53420162200928
1995-10-29,7.53662109375
1995-10-30,7.53908681869507
1995-10-31,7.54158973693848
1995-11-01,7.54407215118408
1995-11-02,7.54657983779907
1995-11-03,7.54914808273315
1995-11-04,7.55172252655029
1995-11-05,7.55420732498169
1995-11-06,7.55665349960327
1995-11-07,7.5590705871582
1995-11-08,7.56109142303467
1995-11-09,7.56304788589478
1995-11-10,7.56469345092773
1995-11-11,7.56648111343384
1995-11-12,7.56843376159668
1995-11-13,7.57056427001953
1995-11-14,7.57298278808594
1995-11-15,7.57533025741577
1995-11-16,7.57748174667358
1995-11-17,7.57969093322754
1995-11-18,7.58169317245483
1995-11-19,7.5836353302002
1995-11-20,7.58587694168091
1995-11-21,7.58818054199219
1995-11-22,7.59030389785767
1995-11-23,7.5923023223877
1995-11-24,7.59438228607178
1995-11-25,7.59644651412964
1995-11-26,7.59825611114502
1995-11-27,7.60039758682251
1995-11-28,7.60272550582886
1995-11-29,7.60481357574463
1995-11-30,7.60678386688232
1995-12-01,6.65989017486572
1995-12-02,6.66436719894409
1995-12-03,6.66892766952515
1995-12-04,6.6734676361084
1995-12-05,6.67793083190918
1995-12-06,6.68149614334106
1995-12-07,6.68506956100464
1995-12-08,6.6897234916687
1995-12-09,6.69476699829102
1995-12-10,6.70085430145264
1995-12-11,6.7068395614624
1995-12-12,6.71202087402344
1995-12-13,6.71339750289917
1995-12-14,6.71369791030884
1995-12-15,6.71418523788452
1995-12-16,6.71563291549683
1995-12-17,6.72110223770142
1995-12-18,6.72533941268921
1995-12-19,6.72567796707153
1995-12-20,6.72451210021973
1995-12-21,6.72343587875366
1995-12-22,6.72218942642212
1995-12-23,6.72090101242065
1995-12-24,6.72082185745239
1995-12-25,6.7240161895752
1995-12-26,6.72785425186157
1995-12-27,6.73404216766357
1995-12-28,6.73995542526245
1995-12-29,6.74380111694336
1995-12-30,6.74540328979492
1995-12-31,6.74749517440796
1996-01-01,6.75041055679321
1996-01-02,6.75443601608276
1996-01-03,6.76128816604614
1996-01-04,6.76447582244873
1996-01-05,6.76665019989014
1996-01-06,6.76789712905884
1996-01-07,6.77371740341187
1996-01-08,6.78186273574829
1996-01-09,6.79021215438843
1996-01-10,6.79578447341919
1996-01-11,6.80197286605835
1996-01-12,6.80458498001099
1996-01-13,6.80556011199951
1996-01-14,6.80710029602051
1996-01-15,6.80954360961914
1996-01-16,6.81216859817505
1996-01-17,6.81756496429443
1996-01-18,6.82363176345825
1996-01-19,6.83102989196777
1996-01-20,6.84065103530884
1996-01-21,6.84874725341797
1996-01-22,6.85800313949585
1996-01-23,6.87134408950806
1996-01-24,6.88443326950073
1996-01-25,6.8909764289856
1996-01-26,6.89742755889893
1996-01-27,6.90372180938721
1996-01-28,6.908775806427
1996-01-29,6.91522121429443
1996-01-30,6.92768049240112
1996-01-31,6.93946933746338
1996-02-01,6.91450643539429
1996-02-02,6.8961820602417
1996-02-03,6.92589378356934
1996-02-04,6.9794602394104
1996-02-05,7.05024671554565
1996-02-06,6.80812168121338
1996-02-07,6.64293241500854
1996-02-08,6.79709529876709
1996-02-09,6.85554504394531
1996-02-10,6.8858528137207
1996-02-11,6.94400453567505
1996-02-12,7.0197606086731
1996-02-13,7.12813806533813
1996-02-14,7.22209644317627
1996-02-15,7.27140712738037
1996-02-16,7.01602411270142
1996-02-17,7.06218528747559
1996-02-18,7.1591100692749
1996-02-19,7.24637365341187
1996-02-20,7.31684589385986
1996-02-21,6.88711452484131
1996-02-22,6.22279787063599
1996-02-23,5.93764209747314
1996-02-24,5.96147346496582
1996-02-25,6.03020668029785
1996-02-26,6.0965690612793
1996-02-27,6.1536660194397
1996-02-28,6.20679187774658
1996-03-01,NA
1996-03-02,NA
1996-03-03,NA
1996-03-04,NA
1996-03-05,NA
1996-03-06,NA
1996-03-07,NA
1996-03-08,NA
1996-03-09,NA
1996-03-10,NA
1996-03-11,NA
1996-03-12,NA
1996-03-13,NA
1996-03-14,NA
1996-03-15,NA
1996-03-16,NA
1996-03-17,NA
1996-03-18,NA
1996-03-19,NA
1996-03-20,NA
1996-03-21,NA
1996-03-22,NA
1996-03-23,NA
1996-03-24,NA
1996-03-25,NA
1996-03-26,NA
1996-03-27,NA
1996-03-28,NA
1996-03-29,NA
1996-03-30,NA
1996-03-31,NA
1996-04-01,NA
1996-04-02,NA
1996-04-03,NA
1996-04-04,NA
1996-04-05,NA
1996-04-06,NA
1996-04-07,NA
1996-04-08,NA
1996-04-09,NA
1996-04-10,NA
1996-04-11,NA
1996-04-12,NA
1996-04-13,NA
1996-04-14,NA
1996-04-15,NA
1996-04-16,NA
1996-04-17,NA
1996-04-18,NA
1996-04-19,NA
1996-04-20,NA
1996-04-21,NA
1996-04-22,NA
1996-04-23,NA
1996-04-24,NA
1996-04-25,NA
1996-04-26,NA
1996-04-27,NA
1996-04-28,NA
1996-04-29,NA
1996-04-30,NA
1996-05-01,NA
1996-05-02,NA
1996-05-03,NA
1996-05-04,NA
1996-05-05,NA
1996-05-06,NA
1996-05-07,NA
1996-05-08,NA
1996-05-09,NA
1996-05-10,NA
1996-05-11,NA
1996-05-12,NA
1996-05-13,NA
1996-05-14,NA
1996-05-15,NA
1996-05-16,NA
1996-05-17,NA
1996-05-18,NA
1996-05-19,NA
1996-05-20,NA
1996-05-21,NA
1996-05-22,NA
1996-05-23,NA
1996-05-24,NA
1996-05-25,NA
1996-05-26,NA
1996-05-27,NA
1996-05-28,NA
1996-05-29,NA
1996-05-30,NA
1996-05-31,NA
1996-06-01,10.3264312744141
1996-06-02,NA
1996-06-03,NA
1996-06-04,NA
1996-06-05,NA
1996-06-06,NA
1996-06-07,NA
1996-06-08,NA
1996-06-09,NA
1996-06-10,NA
1996-06-11,NA
1996-06-12,NA
1996-06-13,NA
1996-06-14,NA
1996-06-15,NA
1996-06-16,NA
1996-06-17,NA
1996-06-18,NA
1996-06-19,NA
1996-06-20,NA
1996-06-21,NA
1996-06-22,NA
1996-06-23,NA
1996-06-24,NA
1996-06-25,NA
1996-06-26,NA
1996-06-27,NA
1996-06-28,NA
1996-06-29,NA
1996-06-30,NA
1996-07-01,NA
1996-07-02,NA
1996-07-03,NA
1996-07-04,NA
1996-07-05,NA
1996-07-06,NA
1996-07-07,NA
1996-07-08,NA
1996-07-09,NA
1996-07-10,NA
1996-07-11,NA
1996-07-12,NA
1996-07-13,NA
1996-07-14,NA
1996-07-15,NA
1996-07-16,NA
1996-07-17,NA
1996-07-18,NA
1996-07-19,NA
1996-07-20,NA
1996-07-21,NA
1996-07-22,NA
1996-07-23,NA
1996-07-24,NA
1996-07-25,NA
1996-07-26,NA
1996-07-27,NA
1996-07-28,NA
1996-07-29,NA
1996-07-30,NA
1996-07-31,NA
1996-08-01,NA
1996-08-02,NA
1996-08-03,NA
1996-08-04,NA
1996-08-05,NA
1996-08-06,NA
1996-08-07,NA
1996-08-08,NA
1996-08-09,NA
1996-08-10,NA
1996-08-11,NA
1996-08-12,NA
1996-08-13,NA
1996-08-14,NA
1996-08-15,NA
1996-08-16,NA
1996-08-17,NA
1996-08-18,NA
1996-08-19,NA
1996-08-20,NA
1996-08-21,NA
1996-08-22,NA
1996-08-23,NA
1996-08-24,NA
1996-08-25,NA
1996-08-26,NA
1996-08-27,NA
1996-08-28,NA
1996-08-29,NA
1996-08-30,NA
1996-08-31,NA
1996-09-01,NA
1996-09-02,NA
1996-09-03,NA
1996-09-04,NA
1996-09-05,NA
1996-09-06,NA
1996-09-07,NA
1996-09-08,NA
1996-09-09,NA
1996-09-10,NA
1996-09-11,NA
1996-09-12,NA
1996-09-13,NA
1996-09-14,NA
1996-09-15,NA
1996-09-16,NA
1996-09-17,NA
1996-09-18,NA
1996-09-19,NA
1996-09-20,NA
1996-09-21,NA
1996-09-22,NA
1996-09-23,NA
1996-09-24,NA
1996-09-25,NA
1996-09-26,NA
1996-09-27,NA
1996-09-28,NA
1996-09-29,NA
1996-09-30,NA
1996-10-01,NA
1996-10-02,NA
1996-10-03,NA
1996-10-04,NA
1996-10-05,NA
1996-10-06,NA
1996-10-07,NA
1996-10-08,NA
1996-10-09,NA
1996-10-10,NA
1996-10-11,NA
1996-10-12,NA
1996-10-13,NA
1996-10-14,NA
1996-10-15,NA
1996-10-16,NA
1996-10-17,NA
1996-10-18,NA
1996-10-19,NA
1996-10-20,NA
1996-10-21,NA
1996-10-22,NA
1996-10-23,NA
1996-10-24,NA
1996-10-25,NA
1996-10-26,NA
1996-10-27,NA
1996-10-28,NA
1996-10-29,NA
1996-10-30,NA
1996-10-31,NA
1996-11-01,NA
1996-11-02,NA
1996-11-03,NA
1996-11-04,NA
1996-11-05,NA
1996-11-06,NA
1996-11-07,NA
1996-11-08,NA
1996-11-09,NA
1996-11-10,NA
1996-11-11,NA
1996-11-12,NA
1996-11-13,NA
1996-11-14,NA
1996-11-15,NA
1996-11-16,NA
1996-11-17,NA
1996-11-18,NA
1996-11-19,NA
1996-11-20,NA
1996-11-21,NA
1996-11-22,NA
1996-11-23,NA
1996-11-24,NA
1996-11-25,NA
1996-11-26,NA
1996-11-27,NA
1996-11-28,NA
1996-11-29,NA
1996-11-30,NA
1996-12-01,NA
1996-12-02,NA
1996-12-03,NA
1996-12-04,NA
1996-12-05,NA
1996-12-06,NA
1996-12-07,NA
1996-12-08,NA
1996-12-09,NA
1996-12-10,NA
1996-12-11,NA
1996-12-12,NA
1996-12-13,NA
1996-12-14,NA
1996-12-15,NA
1996-12-16,NA
1996-12-17,NA
1996-12-18,NA
1996-12-19,NA
1996-12-20,NA
1996-12-21,NA
1996-12-22,NA
1996-12-23,NA
1996-12-24,NA
1996-12-25,NA
1996-12-26,NA
1996-12-27,NA
1996-12-28,NA
1996-12-29,NA
1996-12-30,NA
1996-12-31,NA
1997-01-01,NA
1997-01-02,NA
1997-01-03,NA
1997-01-04,NA
1997-01-05,NA
1997-01-06,NA
1997-01-07,NA
1997-01-08,NA
1997-01-09,NA
1997-01-10,NA
1997-01-11,NA
1997-01-12,NA
1997-01-13,NA
1997-01-14,NA
1997-01-15,NA
1997-01-16,NA
1997-01-17,NA
1997-01-18,NA
1997-01-19,NA
1997-01-20,NA
1997-01-21,NA
1997-01-22,NA
1997-01-23,NA
1997-01-24,NA
1997-01-25,NA
1997-01-26,NA
1997-01-27,NA
1997-01-28,NA
1997-01-29,NA
1997-01-30,NA
1997-01-31,NA
1997-02-01,NA
1997-02-02,NA
1997-02-03,NA
1997-02-04,NA
1997-02-05,NA
1997-02-06,NA
1997-02-07,NA
1997-02-08,NA
1997-02-09,NA
1997-02-10,NA
1997-02-11,NA
1997-02-12,NA
1997-02-13,NA
1997-02-14,NA
